Variable,qrNum_2022,qrText_2022,publicTable_2022,colRef,dataType,dataNote,rOpts_2022,rSetup_2022,rSeq_2022,dataRange (rList_2022 + null markers),sNum_2022,sTitle_2022,nScope_2022,nMax_2022,nAdjMax_2022,nActual_2022,compare_2021 (data++),qrNum_2021,qCompare_2021_2022,rCompare_2021_2022,reportSection,reportFigure,dpSeq
DataVizSharingChannels_PrintedOnPaper,,Physical handout or Printed on paper,data2022main,EX,STRING,Logically BOOLEAN,11 of 18,option,randomized,'Physical handout or Printed on paper'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",216,DVSharingChannels_PrintedOnPaper,,,identical,--,,154
DataVizSharingChannels_OtherPhysicalMedium,,Physical medium other than printed on paper,data2022main,EY,STRING,Logically BOOLEAN,12 of 18,option,randomized,'Physical medium other than printed on paper'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",36,DVSharingChannels_OtherPhysicalMedium,,,identical,--,,155
DataVizSharingChannels_VRorAR,,Augmented or Virtual reality,data2022main,EZ,STRING,Logically BOOLEAN,13 of 18,option,randomized,'Augmented or Virtual reality'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",17,DVSharingChannels_VRorAR,,,identical,--,,156
DataVizSharingChannels_Installation,,Installation,data2022main,FA,STRING,Logically BOOLEAN,14 of 18,option,randomized,'Installation'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",35,DVSharingChannels_Installation,,,identical,--,,157
DataVizSharingChannels_App,,App,data2022main,FB,STRING,Logically BOOLEAN,15 of 18,option,randomized,'App'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",210,DVSharingChannels_App,,,identical,--,,158
DataVizSharingChannels_Video,,Video,data2022main,FC,STRING,Logically BOOLEAN,16 of 18,option,randomized,'Video'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",118,DVSharingChannels_Video,,,identical,--,,159
DataVizSharingChannels_SocialMedia,,Social media,data2022main,FD,STRING,Logically BOOLEAN,17 of 18,option,randomized,'Social media'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",317,DVSharingChannels_SocialMedia,,,identical,--,,160
DataVizSharingChannels_Other__,rQ35,Other (please specify),data2022main,FE,STRING,Free input (alt),infinite,option: Free input,as listed (final option),,4,Charts and Tools,,,"1,336",48,DVSharingChannels_Other__,rQ36__,,identical (still free input),--,,161
ToolsForDataViz_,Q36,What technologies do you use to visualize data? Select all that apply. The next two questions will ask how often you use and how much you like each of your selections.,data2022main,FF,INTEGER,Counts number of options selected,36,Select all that apply,as listed (alphabetical),0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36,4,Charts and Tools,ALL,"1,568",,"1,340",ToolsForDV_,Q34,wording revised,"changes listed below (5 new), and 3 deletions: 'Angular';  'Java'; 'kepler.gl'; (also: 2022 fixed sequence vs. 2021 randomized)",4,Figure 13,162
ToolsForDataViz_ArcGIS,,ArcGIS,data2022main,FG,STRING,Logically BOOLEAN,1 of 36,option,as listed,'ArcGIS'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",133,ToolsForDV_ArcGIS,,,identical,4,Figure 13,163
ToolsForDataViz_Canvas,,Canvas,data2022main,FH,STRING,Logically BOOLEAN,2 of 36,option,as listed,'Canvas'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",111,ToolsForDV_Canvas,,,identical,4,Figure 13,164
ToolsForDataViz_D3,,D3.js,data2022main,FI,STRING,Logically BOOLEAN,3 of 36,option,as listed,'D3.js'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",266,ToolsForDV_D3,,,identical,4,Figure 13,165
ToolsForDataViz_Datawrapper,,Datawrapper,data2022main,FJ,STRING,Logically BOOLEAN,4 of 36,option,as listed,'Datawrapper'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",139,ToolsForDV_Datawrapper,,,identical,4,Figure 13,166
ToolsForDataViz_Excel,,Excel,data2022main,FK,STRING,Logically BOOLEAN,5 of 36,option,as listed,'Excel'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",843,ToolsForDV_Excel,,,identical,4,Figure 13,167
ToolsForDataViz_Figma,,Figma,data2022main,FL,STRING,Logically BOOLEAN,6 of 36,option,as listed,'Figma'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",249,,,,new,4,Figure 13,168
ToolsForDataViz_Flourish,,Flourish,data2022main,FM,STRING,Logically BOOLEAN,7 of 36,option,as listed,'Flourish'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",133,ToolsForDV_Flourish,,,identical,4,Figure 13,169
ToolsForDataViz_ggplot2,,ggplot2,data2022main,FN,STRING,Logically BOOLEAN,8 of 36,option,as listed,'ggplot2'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",325,ToolsForDV_ggplot2,,,identical,4,Figure 13,170
ToolsForDataViz_Gephi,,Gephi,data2022main,FO,STRING,Logically BOOLEAN,9 of 36,option,as listed,'Gephi'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",64,ToolsForDV_Gephi,,,identical,4,Figure 13,171
ToolsForDataViz_GoogleDataStudio,,Google Data Studio,data2022main,FP,STRING,Logically BOOLEAN,10 of 36,option,as listed,'Google Data Studio'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",134,ToolsForDV_GoogleDataStudio,,,identical,4,Figure 13,172
ToolsForDataViz_GoogleSheets,,Google Sheets,data2022main,FQ,STRING,Logically BOOLEAN,11 of 36,option,as listed,'Google Sheets'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",370,,,,new,4,Figure 13,173
ToolsForDataViz_Highcharts,,Highcharts,data2022main,FR,STRING,Logically BOOLEAN,12 of 36,option,as listed,'Highcharts'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",51,ToolsForDV_Highcharts,,,identical,4,Figure 13,174
ToolsForDataViz_Illustrator,,Illustrator,data2022main,FS,STRING,Logically BOOLEAN,13 of 36,option,as listed,'Illustrator'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",333,ToolsForDV_Illustrator,,,identical,4,Figure 13,175
ToolsForDataViz_Leaflet,,Leaflet,data2022main,FT,STRING,Logically BOOLEAN,14 of 36,option,as listed,'Leaflet'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",86,ToolsForDV_Leaflet,,,identical,4,Figure 13,176
ToolsForDataViz_Looker,,Looker,data2022main,FU,STRING,Logically BOOLEAN,15 of 36,option,as listed,'Looker'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",34,,,,new,4,Figure 13,177
ToolsForDataViz_Mapbox,,Mapbox,data2022main,FV,STRING,Logically BOOLEAN,16 of 36,option,as listed,'Mapbox'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",120,ToolsForDV_Mapbox,,,identical,4,Figure 13,178
ToolsForDataViz_Observable,,Observable,data2022main,FW,STRING,Logically BOOLEAN,17 of 36,option,as listed,'Observable'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",97,ToolsForDV_Observable,,,identical,4,Figure 13,179
ToolsForDataViz_P5orProcessing,,P5/Processing,data2022main,FX,STRING,Logically BOOLEAN,18 of 36,option,as listed,'P5/Processing'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",44,ToolsForDV_P5orProcessing,,,identical,4,Figure 13,180
ToolsForDataViz_PenPaper,,Pen & paper,data2022main,FY,STRING,Logically BOOLEAN,19 of 36,option,as listed,'Pen & paper'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",333,ToolsForDV_PenPaper,,,identical,4,Figure 13,181
ToolsForDataViz_PhysicalMaterials,,Physical materials (other than pen and paper),data2022main,FZ,STRING,Logically BOOLEAN,20 of 36,option,as listed,'Physical materials (other than pen and paper)'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",41,ToolsForDV_PhysicalMaterials,,,identical,4,Figure 13,182
ToolsForDataViz_Plotly,,Plotly,data2022main,GA,STRING,Logically BOOLEAN,21 of 36,option,as listed,'Plotly'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",182,ToolsForDV_Plotly,,,identical,4,Figure 13,183
ToolsForDataViz_PowerBI,,Power BI,data2022main,GB,STRING,Logically BOOLEAN,22 of 36,option,as listed,'Power BI'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",388,ToolsForDV_PowerBI,,,identical,4,Figure 13,184
ToolsForDataViz_PowerPoint,,PowerPoint,data2022main,GC,STRING,Logically BOOLEAN,23 of 36,option,as listed,'PowerPoint'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",551,ToolsForDV_PowerPoint,,,identical,4,Figure 13,185
ToolsForDataViz_Python,,Python,data2022main,GD,STRING,Logically BOOLEAN,24 of 36,option,as listed,'Python'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",315,ToolsForDV_Python,,,identical,4,Figure 13,186
ToolsForDataViz_QGIS,,QGIS,data2022main,GE,STRING,Logically BOOLEAN,25 of 36,option,as listed,'QGIS'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",128,ToolsForDV_QGIS,,,identical,4,Figure 13,187
ToolsForDataViz_Qlik,,Qlik,data2022main,GF,STRING,Logically BOOLEAN,26 of 36,option,as listed,'Qlik'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",46,ToolsForDV_Qlik,,,identical,4,Figure 13,188
ToolsForDataViz_R,,R,data2022main,GG,STRING,Logically BOOLEAN,27 of 36,option,as listed,'R'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",373,ToolsForDV_R,,,identical,4,Figure 13,189
ToolsForDataViz_RAWGraphs,,RAWGraphs,data2022main,GH,STRING,Logically BOOLEAN,28 of 36,option,as listed,'RAWGraphs'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",154,,,,new,4,Figure 13,190
ToolsForDataViz_React,,React,data2022main,GI,STRING,Logically BOOLEAN,29 of 36,option,as listed,'React'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",80,ToolsForDV_React,,,identical,4,Figure 13,191
ToolsForDataViz_Svelte,,Svelte,data2022main,GJ,STRING,Logically BOOLEAN,30 of 36,option,as listed,'Svelte'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",52,,,,new,4,Figure 13,192
ToolsForDataViz_Tableau,,Tableau,data2022main,GK,STRING,Logically BOOLEAN,31 of 36,option,as listed,'Tableau'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",590,ToolsForDV_Tableau,,,identical,4,Figure 13,193
ToolsForDataViz_Vega,,Vega,data2022main,GL,STRING,Logically BOOLEAN,32 of 36,option,as listed,'Vega'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",36,ToolsForDV_Vega,,,identical,4,Figure 13,194
ToolsForDataViz_Vue,,Vue,data2022main,GM,STRING,Logically BOOLEAN,33 of 36,option,as listed,'Vue'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",29,ToolsForDV_Vue,,,identical,4,Figure 13,195
ToolsForDataViz_WebComponents,,Web Components,data2022main,GN,STRING,Logically BOOLEAN,34 of 36,option,as listed,'Web Components'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",35,ToolsForDV_WebComponents,,,identical,4,Figure 13,196
ToolsForDataViz_WebGL,,WebGL,data2022main,GO,STRING,Logically BOOLEAN,35 of 36,option,as listed,'WebGL'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,340",49,ToolsForDV_WebGL,,,identical,4,Figure 13,197
ToolsForDataViz_Other__,rQ36,Other (please specify),data2022main,GP,STRING,Free input (alt),infinite,option: Free input,as listed (final option),,4,Charts and Tools,,,"1,340",220,ToolsForDV_Other__,rQ34__,,identical (still free input),4,Figure 13,198
ToolsFreq_,Q37,How often do you use each of your selected technologies for data visualization?,data2022main,GQ,INTEGER,Counts number of ratings provided,36,Matrix from select all,as listed,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36,4,Charts and Tools,Iff Q36 ToolsForDataViz_ answered,"1,340",,"1,333",,,new,new,--,,199
ToolsFreq_ArcGIS,,ArcGIS,data2022main,GR,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",130,,,new,new,--,,200
ToolsFreq_Canvas,,Canvas,data2022main,GS,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",111,,,new,new,--,,201
ToolsFreq_D3,,D3.js,data2022main,GT,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",264,,,new,new,--,,202
ToolsFreq_Datawrapper,,Datawrapper,data2022main,GU,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",138,,,new,new,--,,203
ToolsFreq_Excel,,Excel,data2022main,GV,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",838,,,new,new,--,,204
ToolsFreq_Figma,,Figma,data2022main,GW,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",245,,,new,new,--,,205
ToolsFreq_Flourish,,Flourish,data2022main,GX,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",131,,,new,new,--,,206
ToolsFreq_ggplot2,,ggplot2,data2022main,GY,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",325,,,new,new,--,,207
ToolsFreq_Gephi,,Gephi,data2022main,GZ,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",64,,,new,new,--,,208
ToolsFreq_GoogleDataStudio,,Google Data Studio,data2022main,HA,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",134,,,new,new,--,,209
ToolsFreq_GoogleSheets,,Google Sheets,data2022main,HB,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",365,,,new,new,--,,210
ToolsFreq_Highcharts,,Highcharts,data2022main,HC,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",51,,,new,new,--,,211
ToolsFreq_Illustrator,,Illustrator,data2022main,HD,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",331,,,new,new,--,,212
ToolsFreq_Leaflet,,Leaflet,data2022main,HE,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",86,,,new,new,--,,213
ToolsFreq_Looker,,Looker,data2022main,HF,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",34,,,new,new,--,,214
ToolsFreq_Mapbox,,Mapbox,data2022main,HG,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",119,,,new,new,--,,215
ToolsFreq_Observable,,Observable,data2022main,HH,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",96,,,new,new,--,,216
ToolsFreq_P5orProcessing,,P5/Processing,data2022main,HI,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",43,,,new,new,--,,217
ToolsFreq_PenPaper,,Pen & paper,data2022main,HJ,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",330,,,new,new,--,,218
ToolsFreq_PhysicalMaterials,,Physical materials (other than pen and paper),data2022main,HK,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",39,,,new,new,--,,219
ToolsFreq_Plotly,,Plotly,data2022main,HL,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",181,,,new,new,--,,220
ToolsFreq_PowerBI,,Power BI,data2022main,HM,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",386,,,new,new,--,,221
ToolsFreq_PowerPoint,,PowerPoint,data2022main,HN,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",549,,,new,new,--,,222
ToolsFreq_Python,,Python,data2022main,HO,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",315,,,new,new,--,,223
ToolsFreq_QGIS,,QGIS,data2022main,HP,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",128,,,new,new,--,,224
ToolsFreq_Qlik,,Qlik,data2022main,HQ,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",46,,,new,new,--,,225
ToolsFreq_R,,R,data2022main,HR,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",371,,,new,new,--,,226
ToolsFreq_RAWGraphs,,RAWGraphs,data2022main,HS,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",151,,,new,new,--,,227
ToolsFreq_React,,React,data2022main,HT,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",79,,,new,new,--,,228
ToolsFreq_Svelte,,Svelte,data2022main,HU,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",52,,,new,new,--,,229
ToolsFreq_Tableau,,Tableau,data2022main,HV,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",588,,,new,new,--,,230
ToolsFreq_Vega,,Vega,data2022main,HW,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",36,,,new,new,--,,231
ToolsFreq_Vue,,Vue,data2022main,HX,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",29,,,new,new,--,,232
ToolsFreq_WebComponents,,Web Components,data2022main,HY,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",34,,,new,new,--,,233
ToolsFreq_WebGL,,WebGL,data2022main,HZ,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",49,,,new,new,--,,234
ToolsFreq_Other__,rQ37,[Other],data2022main,IA,STRING,Sort as Likert scale (3),3,Select one,as listed,'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,Iff this option chosen in Q36 ToolsForDataViz_,"1,340","1,333",218,,,new,new,--,,235
ToolsLiking_,Q38,How much do you like using each of your selected technologies for data visualization?,data2022main,IB,INTEGER,Counts number of ratings provided,36,Matrix from select all,as listed,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36,4,Charts and Tools,ALL,"1,340","1,340","1,327",,,new,new,4,Figure 14,236
ToolsLiking_ArcGIS,,ArcGIS,data2022main,IC,STRING,Sort as Likert scale (3),3,Select one,as listed,'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,,"1,340","1,327",129,,,new,new,4,Figure 14,237
ToolsLiking_Canvas,,Canvas,data2022main,ID,STRING,Sort as Likert scale (3),3,Select one,as listed,'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,,"1,340","1,327",108,,,new,new,4,Figure 14,238
ToolsLiking_D3,,D3.js,data2022main,IE,STRING,Sort as Likert scale (3),3,Select one,as listed,'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,,"1,340","1,327",258,,,new,new,4,Figure 14,239
ToolsLiking_Datawrapper,,Datawrapper,data2022main,IF,STRING,Sort as Likert scale (3),3,Select one,as listed,'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,,"1,340","1,327",135,,,new,new,4,Figure 14,240
ToolsLiking_Excel,,Excel,data2022main,IG,STRING,Sort as Likert scale (3),3,Select one,as listed,'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,,"1,340","1,327",827,,,new,new,4,Figure 14,241
ToolsLiking_Figma,,Figma,data2022main,IH,STRING,Sort as Likert scale (3),3,Select one,as listed,'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,,"1,340","1,327",245,,,new,new,4,Figure 14,242
ToolsLiking_Flourish,,Flourish,data2022main,II,STRING,Sort as Likert scale (3),3,Select one,as listed,'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,,"1,340","1,327",129,,,new,new,4,Figure 14,243
ToolsLiking_ggplot2,,ggplot2,data2022main,IJ,STRING,Sort as Likert scale (3),3,Select one,as listed,'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]',4,Charts and Tools,,"1,340","1,327",322,,,new,new,4,Figure 14,244
